lat,lon,poi_type,id,osm_type,jurisdiction
41.90105819702148,12.4772481918335,cafe,32631124,node,J5
41.86117553710938,12.53327083587646,fuel,226903493,node,J4
41.86068344116211,12.44281101226807,fuel,226912127,node,J3
41.87953567504883,12.44021701812744,fuel,226914361,node,J3
41.83740615844727,12.50820064544678,fuel,226930875,node,J2
41.85258483886719,12.47688388824463,fuel,226947612,node,J3
41.82364273071289,12.47973155975342,fuel,227535249,node,J1
41.83224868774414,12.48105907440186,fuel,227535371,node,J1
41.91484069824219,12.46392154693604,fuel,227543829,node,J5
41.87948608398438,12.50810432434082,fuel,227543966,node,J4
41.90566253662109,12.46281719207764,fuel,227543968,node,J5
41.90354919433594,12.47202777862549,fuel,227544136,node,J5
41.88387680053711,12.51472091674805,fuel,227544739,node,J4
41.86398315429688,12.53148365020752,fuel,227545153,node,J4
41.84766006469727,12.45734310150146,fuel,227606276,node,J1
41.85312652587891,12.45110893249512,fuel,227740842,node,J3
41.85705947875977,12.458664894104,fuel,227740853,node,J3
41.91021728515625,12.47459506988525,fuel,227740858,node,J5
41.91321182250977,12.46716403961182,fuel,227740866,node,J5
41.87100219726562,12.46066379547119,fuel,227748810,node,J3
41.81660842895508,12.46151351928711,fuel,227775545,node,J1
41.82622146606445,12.4550313949585,fuel,227820716,node,J1
41.86713790893555,12.46668815612793,fuel,227838891,node,J3
41.84561157226562,12.48494148254395,fuel,227883209,node,J1
41.86354827880859,12.53171920776367,fuel,227942441,node,J4
41.90898895263672,12.49271774291992,fuel,227951866,node,J6
41.91792678833008,12.45552539825439,fuel,227957377,node,J5
41.87221527099609,12.44310569763184,fuel,227974201,node,J3
41.83707427978516,12.47304725646973,fuel,227977664,node,J1
41.90005111694336,12.45360946655273,fuel,227992804,node,J5
41.86583709716797,12.47884082794189,fuel,227995901,node,J3
41.89325332641602,12.48813343048096,fuel,227995912,node,J6
41.89260482788086,12.50808715820312,fuel,227996066,node,J6
41.81894302368164,12.46698474884033,fuel,227997806,node,J1
41.8196907043457,12.46810913085938,fuel,227998199,node,J1
41.85892868041992,12.44285011291504,fuel,228224061,node,J3
41.85004806518555,12.4416036605835,fuel,228225235,node,J3
41.83713150024414,12.46312046051025,fuel,228232082,node,J1
41.82678604125977,12.51858329772949,fuel,228255292,node,J2
41.85273361206055,12.49509811401367,fuel,228273254,node,J4
41.83980178833008,12.47373104095459,fuel,228276202,node,J1
41.83710098266602,12.47235202789307,fuel,228278272,node,J1
41.83143997192383,12.46949291229248,fuel,228278475,node,J1
41.86189651489258,12.46302223205566,fuel,228768281,node,J3
41.8301887512207,12.46935844421387,fuel,229099311,node,J1
41.83730697631836,12.50045967102051,fuel,229108491,node,J2
41.87986755371094,12.52880191802979,fuel,229144520,node,J4
41.82450866699219,12.48554611206055,drinking_water,246569213,node,J2
41.85261917114258,12.47832870483398,drinking_water,246569214,node,J3
41.86375045776367,12.47894763946533,drinking_water,246569216,node,J3
41.9042854309082,12.51327800750732,drinking_water,246571139,node,J6
41.90478897094727,12.51624298095703,drinking_water,246571141,node,J6
41.90314102172852,12.50081825256348,drinking_water,246571142,node,J6
41.88829040527344,12.51472854614258,drinking_water,246572369,node,J6
41.88944244384766,12.51334571838379,drinking_water,246572370,node,J6
41.89384460449219,12.50551605224609,drinking_water,246572372,node,J6
41.89393997192383,12.50561141967773,drinking_water,246572374,node,J6
41.89531707763672,12.50313282012939,drinking_water,246574144,node,J6
41.89524078369141,12.50305843353271,drinking_water,246574145,node,J6
41.89577865600586,12.50166988372803,fountain,246574146,node,J6
